bin,doitt_id,created_date,last_edited_date,planimetrics_height
5158987,1282563,2017-10-04,2019-01-22,46.65846856
5165933,1264504,,2019-01-22,60.68408093
5062071,1286591,2018-09-07,2018-09-07,23.62
5170565,1286604,2018-09-10,2018-09-10,32.84
5089052,1286606,2018-09-10,2018-09-10,27.15568487
5089051,1286607,2018-09-10,2018-09-10,27.08454254
5170704,1284639,2018-05-11,2018-05-11,31.42335304
5164818,1284640,2018-05-11,2018-05-11,30.8436674
5164816,1284641,2018-05-11,2018-05-11,30.17039127
5164815,1284642,2018-05-11,2018-05-11,31.65191079
5165074,1286891,2018-09-26,2018-12-07,31.45528605
5165076,1286892,2018-09-26,2018-09-26,30.65168134
5165075,1286893,2018-09-26,2018-09-26,30.76174634
5087028,1286894,2018-09-26,2018-09-26,25.14859254
5164743,1286765,2018-09-19,2018-09-19,32.39116373
5164744,1286766,2018-09-19,2018-09-19,31.27399526
5164745,1286767,2018-09-19,2018-09-19,30.20369786
5164746,1286768,2018-09-19,2018-09-19,29.86264095
5164747,1286769,2018-09-19,2018-09-19,31.09435903
5164748,1286770,2018-09-19,2018-09-19,30.4048029
5164749,1286771,2018-09-19,2018-09-19,30.24766478
5164750,1286772,2018-09-19,2018-09-19,30.00836896
5799509,1286530,2018-09-04,2018-12-07,38.56996505
5170614,1284477,2018-04-25,2018-05-02,41.97131144
5065532,1285923,2018-07-31,2018-12-07,31.73118127
5164594,1285926,2018-07-31,2018-07-31,37.84508995
5165126,1285946,2018-08-02,2018-08-02,32.16259202
5087744,1285947,2018-08-02,2018-08-02,32.13046355
5166395,1285950,2018-08-02,2018-12-26,34.0741284
5171481,1285951,2018-08-02,2018-12-26,33.90213244
5127311,1286801,2018-09-19,2018-09-19,16.66694592
5127312,1286802,2018-09-19,2018-09-19,16.71407894
5127313,1286803,2018-09-19,2018-09-19,16.53391451
5127314,1286804,2018-09-19,2018-09-19,16.56404931
5127315,1286806,2018-09-19,2018-09-19,16.3538799
5799515,1286533,2018-09-04,2018-12-07,40.35404896
5799516,1286534,2018-09-04,2018-12-07,39.47263177
5799523,1286538,2018-09-04,2018-12-07,38.8892888
5125571,1286551,2018-09-05,2018-09-05,16.72861333
5158271,1286398,2018-08-27,2018-08-27,36.95111512
5174603,1291863,2020-01-17,2021-05-18,38.10494672
5169750,1293823,2021-01-21,2021-01-21,29.45320417
5158272,1286401,2018-08-27,2018-08-27,37.04602992
5158270,1286405,2018-08-27,2018-12-07,36.69358448
