BIN,height_roof,update,delta
1091569,196,274,78
1088494,28,106,78
3426951,123,45,78
1090245,0,77,77
1090789,0,77,77
1090877,0,77,77
3063664,0,77,77
3396814,0,77,77
3424177,0,77,77
3425092,0,77,77
1088551,47,124,77
1089911,0,76,76
1090098,0,76,76
1090144,0,76,76
1090330,0,76,76
2128906,0,76,76
3083106,0,76,76
3422385,0,76,76
4619948,0,76,76
1089989,0,75,75
1090855,0,75,75
2129010,0,75,75
3162372,0,75,75
3397186,0,75,75
3421878,0,75,75
3426513,0,75,75
3429218,0,75,75
1088371,0,74,74
3118449,0,74,74
4607377,0,74,74
3139741,13,87,74
4080234,18,92,74
4540141,21,95,74
1090324,0,73,73
2128714,0,73,73
3418166,0,73,73
3418180,0,73,73
3418255,0,73,73
3425097,0,73,73
3425138,0,73,73
3425997,0,73,73
2124470,0,72,72
2127297,0,72,72
3397213,0,72,72
3413941,0,72,72
3425540,0,72,72
4617653,0,72,72
5113073,0,72,72
4006365,15,87,72
3070879,13,85,72
1089346,56,128,72
3424212,0,71,71
3426839,0,71,71
4617739,0,71,71
1008760,17,88,71
3335899,209,280,71
1090640,0,70,70
3064043,0,70,70
3415745,0,70,70
3418231,0,70,70
3424168,0,70,70
3425147,0,70,70
3421826,10,80,70
1012290,64,134,70
3116055,14,84,70
1002735,86,156,70
3420465,10,80,70
1026799,0,69,69
1089737,0,69,69
2128483,0,69,69
3421828,0,69,69
3006603,33,102,69
3335871,164,95,69
2129132,210,279,69
1052559,16,85,69
1089849,0,68,68
1090432,0,68,68
3421638,0,68,68
3426290,0,68,68
4539318,0,68,68
3116577,15,83,68
1004520,0,67,67
1090849,0,67,67
3054992,0,67,67
3413699,0,67,67
3421476,0,67,67
4042512,0,67,67
3426388,154,87,67
3426400,120,53,67
3413700,10,77,67
2127004,0,66,66
2128217,0,66,66
4618316,0,66,66
1089665,0,65,65
1090323,0,65,65
1090715,0,65,65
2124647,0,65,65
2128434,0,65,65
3321438,0,65,65
3414239,0,65,65
3421390,0,65,65
3421391,0,65,65
3425781,0,65,65
3426381,0,65,65
4539959,0,65,65
4540385,0,65,65
4542690,0,65,65
4542691,0,65,65
4602519,0,65,65
4602520,0,65,65
1090418,0,64,64
3398333,0,64,64
3412823,0,64,64
3424206,0,64,64
3425850,0,64,64
3426017,0,64,64
4539161,0,64,64
4540384,0,64,64
4602517,0,64,64
4602518,0,64,64
4602521,0,64,64
4607260,0,64,64
4615270,0,64,64
3127540,0,63,63
3413708,0,63,63
3414019,0,63,63
3424423,0,63,63
3424705,0,63,63
3425017,0,63,63
3428624,0,63,63
1089839,0,62,62
3034762,0,62,62
3425099,0,62,62
3425474,0,62,62
3426799,0,62,62
4006702,0,62,62
1089764,0,61,61
1089870,0,61,61
3003198,0,61,61
3075151,0,61,61
3413764,0,61,61
3413886,0,61,61
3425733,0,61,61
4617858,0,61,61
5165933,0,61,61
5171652,0,61,61
1089763,0,60,60
2129352,0,60,60
3323805,0,60,60
3398251,0,60,60
3398372,0,60,60
3398447,0,60,60
3425495,0,60,60
3000027,0,59,59
3005772,0,59,59
3398258,0,59,59
3398370,0,59,59
3398374,0,59,59
3411555,0,59,59
3411556,0,59,59
3411557,0,59,59
3414822,0,59,59
3418333,0,59,59
3425072,0,59,59
4593930,0,59,59
4614610,0,59,59
3071068,0,58,58
3414272,0,58,58
3425073,0,58,58
3426392,0,58,58
1002429,0,57,57
1089856,0,57,57
3069833,0,57,57
3326367,0,57,57
3335779,0,57,57
3398368,0,57,57
3413814,0,57,57
3421647,0,57,57
3424127,0,57,57
3425144,0,57,57
3425145,0,57,57
3425354,0,57,57
1089765,0,56,56
1089855,0,56,56
1089857,0,56,56
1090854,0,56,56
2124443,0,56,56
3074700,0,56,56
3414016,0,56,56
3414231,0,56,56
3425389,0,56,56
5170474,0,56,56
1089690,0,55,55
1089766,0,55,55
2004721,0,55,55
2129068,0,55,55
3018499,0,55,55
3026512,0,55,55
3056277,0,55,55
3393163,0,55,55
3421395,0,55,55
3425996,0,55,55
3426480,0,55,55
3426489,0,55,55
4607300,0,55,55
4616405,0,55,55
4618922,0,55,55
2128617,0,54,54
2129522,0,54,54
3006423,0,54,54
3050683,0,54,54
3413883,0,54,54
3414013,0,54,54
3425146,0,54,54
3425462,0,54,54
3426028,0,54,54
3426280,0,54,54
4607562,0,54,54
4618535,0,54,54
1090506,0,53,53
3060746,0,53,53
3067868,0,53,53
3072697,0,53,53
3402994,0,53,53
3424562,0,53,53
3425080,0,53,53
3425143,0,53,53
3425431,0,53,53
3425992,0,53,53
4006691,0,53,53
4040550,0,53,53
4048613,0,53,53
4607828,0,53,53
3006835,0,52,52
3014830,0,52,52
3018891,0,52,52
3324975,0,52,52
3398448,0,52,52
3413945,0,52,52
4607503,0,52,52
1048704,0,51,51
3009515,0,51,51
3043264,0,51,51
3414215,0,51,51
3414216,0,51,51
3418155,0,51,51
3424611,0,51,51
4304427,0,51,51
4611197,0,51,51
4618215,0,51,51
1089848,0,50,50
1089854,0,50,50
3021043,0,50,50
3040213,0,50,50
3075152,0,50,50
3248653,0,50,50
3400571,0,50,50
3400572,0,50,50
3413433,0,50,50
3413434,0,50,50
3413435,0,50,50
3413436,0,50,50
3413437,0,50,50
3414217,0,50,50
3425867,0,50,50
4431624,0,50,50
4597143,0,50,50
4618509,0,50,50
3004557,0,49,49
3078582,0,49,49
3136390,0,49,49
3325789,0,49,49
3397932,0,49,49
3400565,0,49,49
3400568,0,49,49
3409567,0,49,49
3424550,0,49,49
3426800,0,49,49
3426973,0,49,49
4541587,0,49,49
4596376,0,49,49
4596565,0,49,49
4607414,0,49,49
4607744,0,49,49
2128901,0,48,48
2129004,0,48,48
2129330,0,48,48
3072176,0,48,48
3073929,0,48,48
3400428,0,48,48
3418256,0,48,48
3418342,0,48,48
3421404,0,48,48
3421743,0,48,48
3422383,0,48,48
3424730,0,48,48
3425003,0,48,48
4044475,0,48,48
4112184,0,48,48
4541586,0,48,48
4596289,0,48,48
4596290,0,48,48
4596352,0,48,48
4596377,0,48,48
4607419,0,48,48
4607469,0,48,48
5170488,0,48,48
2124526,0,47,47
2128902,0,47,47
3054673,0,47,47
3065339,0,47,47
3398821,0,47,47
3424255,0,47,47
3425100,0,47,47
3425608,0,47,47
3426052,0,47,47
4596291,0,47,47
4596351,0,47,47
4615148,0,47,47
4617195,0,47,47
4618542,0,47,47
4618543,0,47,47
4618849,0,47,47
4798068,0,47,47
5158987,0,47,47
5164530,0,47,47
5166305,0,47,47
1000039,0,46,46
2124631,0,46,46
2128702,0,46,46
2128903,0,46,46
3039122,0,46,46
3049908,0,46,46
3064031,0,46,46
3072175,0,46,46
3076359,0,46,46
3403056,0,46,46
3403058,0,46,46
3403059,0,46,46
3421678,0,46,46
3424069,0,46,46
3426038,0,46,46
3426478,0,46,46
3426481,0,46,46
3426482,0,46,46
4596260,0,46,46
4596294,0,46,46
4596295,0,46,46
4596353,0,46,46
4607929,0,46,46
4622985,0,46,46
4798015,0,46,46
1090771,0,45,45
2124630,0,45,45
3015912,0,45,45
3125923,0,45,45
3404999,0,45,45
3422234,0,45,45
4047641,0,45,45
4156170,0,45,45
4541230,0,45,45
4596375,0,45,45
4596378,0,45,45
4596562,0,45,45
4616402,0,45,45
4617562,0,45,45
5151970,0,45,45
5171653,0,45,45
2127006,0,44,44
