bin,doitt_id,created_date,last_edited_date,height_roof,planimetrics_height,height_difference
5166782,1283918,2018-02-21,2019-09-19,8.00000000,58.48187778,50.48187778
5171154,1292596,2020-06-12,2020-06-12,30.00000000,28.72699785,1.27300215
5170588,1292595,2020-06-12,2020-06-12,30.00000000,32.98284120,2.98284120
5170820,1293859,2021-01-26,2021-01-26,35.00000000,37.52698993,2.52698993
5166543,1272621,2018-05-15,2019-10-18,32.00000000,35.36162187,3.36162187
5166531,1272609,2018-05-15,2019-10-18,32.00000000,31.59063544,0.40936456
5166549,1272627,2018-05-15,2019-10-18,32.00000000,36.12718980,4.12718980
5161489,1288378,2019-02-06,2019-08-16,35.00000000,38.11536697,3.11536697
5167258,1288396,2019-02-07,2019-08-16,10.00000000,16.89779614,6.89779614
5167258,1288396,2019-02-07,2019-08-16,10.00000000,16.89779614,6.89779614
5171169,1287575,2018-11-07,2018-11-07,25.00000000,25.20208270,0.20208270
5170916,1287663,2018-11-13,2018-11-13,26.00000000,25.43291559,0.56708441
5165221,1289949,2019-06-27,2019-08-16,35.00000000,36.27580001,1.27580001
5171772,1294344,2021-04-26,2021-04-26,32.00000000,32.65689264,0.65689264
5166304,1291042,2019-10-30,2019-12-05,30.00000000,35.84761543,5.84761543
5165152,1291044,2019-10-30,2019-12-05,35.00000000,34.87168277,0.12831723
5158715,1290871,2019-10-16,2019-12-05,12.00000000,27.73083740,15.73083740
5073405,1290885,2019-10-17,2019-12-05,34.00000000,33.93432364,0.06567636
5013221,1290887,2019-10-17,2019-12-05,60.00000000,51.53954213,8.46045787
5169698,1290910,2019-10-18,2019-12-05,30.00000000,33.07199328,3.07199328
5169697,1290911,2019-10-18,2019-12-05,30.00000000,33.07199328,3.07199328
5164649,1290947,2019-10-21,2019-12-05,34.00000000,36.28823115,2.28823115
5126660,1285698,2018-07-13,2019-01-24,22.85000000,25.88128290,3.03128290
5057120,1295396,2021-09-15,2021-09-15,25.00000000,34.06078194,9.06078194
5174905,1295469,2021-09-23,2021-09-23,35.00000000,38.52779544,3.52779544
5174912,1295484,2021-09-24,2021-09-24,35.00000000,30.24517930,4.75482070
5171614,1295691,2021-10-18,2021-10-18,11.00000000,11.30611428,0.30611428
5170276,1295762,2021-10-26,2021-10-26,42.00000000,33.17151575,8.82848425
5047035,1295763,2021-10-26,2022-02-04,32.00000000,34.48248072,2.48248072
5174508,1295772,2021-10-26,2021-10-26,25.00000000,37.03254101,12.03254101
5019650,1295882,2021-11-08,2021-11-08,34.00000000,34.90486773,0.90486773
5171285,1295975,2021-11-19,2021-11-19,34.00000000,33.79114531,0.20885469
5174546,1295998,2021-11-24,2021-11-24,35.00000000,32.85165033,2.14834967
5171278,1296039,2021-12-02,2023-05-16,35.00000000,34.74016851,0.25983149
5171287,1296075,2021-12-08,2022-06-14,12.00000000,17.33786496,5.33786496
5003737,1296080,2021-12-09,2021-12-09,32.00000000,36.86790175,4.86790175
5170552,1296141,2021-12-16,2021-12-16,12.00000000,12.12177488,0.12177488
5174911,1296184,2021-12-20,2021-12-20,35.00000000,34.80723159,0.19276841
5174941,1296193,2021-12-21,2021-12-21,32.00000000,31.89840000,0.10160000
5168885,1292898,2020-08-17,2020-08-17,29.00000000,32.25813233,3.25813233
5172050,1293364,2020-11-05,2020-11-05,65.00000000,105.99078392,40.99078392
5171859,1295033,2021-07-22,2024-04-30,10.00000000,14.80961503,4.80961503
5048804,1295010,2021-07-22,2021-07-22,33.00000000,35.37522265,2.37522265
5171387,1295039,2021-07-22,2021-07-22,10.00000000,12.53454890,2.53454890
5170446,1292934,2020-08-21,2024-04-30,12.00000000,5.55674624,6.44325376
5054224,1285952,2018-08-02,2020-08-24,25.00000000,37.24289199,12.24289199
5174471,1292990,2020-08-27,2020-08-27,12.00000000,7.59954072,4.40045928
5174470,1292989,2020-08-27,2020-08-27,30.00000000,34.18040117,4.18040117
5171557,1292984,2020-08-27,2020-08-27,35.00000000,32.19958347,2.80041653
5171391,1293069,2020-09-15,2020-09-15,30.00000000,27.45107556,2.54892444
5170502,1292664,2020-07-08,2020-10-01,25.00000000,35.84730906,10.84730906
5170494,1292670,2020-07-08,2020-10-01,30.00000000,35.55094295,5.55094295
5170498,1292802,2020-08-07,2020-10-01,25.00000000,37.80984792,12.80984792
5171020,1293222,2020-10-15,2023-07-17,28.00000000,27.88109838,0.11890162
5171019,1293223,2020-10-15,2023-07-17,28.00000000,23.47247309,4.52752691
5171277,1293302,2020-10-29,2020-10-29,12.00000000,10.59003462,1.40996538
5109967,1284318,2018-04-12,2018-04-12,26.00000000,28.38420001,2.38420001
5166405,1283131,2017-11-29,2019-11-06,30.00000000,28.87796580,1.12203420
5162198,1285012,2018-06-05,2019-11-06,35.00000000,39.21081930,4.21081930
5043493,1294437,2021-05-10,2021-05-10,32.00000000,34.26293421,2.26293421
5171564,1294404,2021-05-04,2024-02-08,32.00000000,36.43797927,4.43797927
5169689,1288684,2019-03-13,2019-10-24,34.00000000,37.57856568,3.57856568
5166380,1289920,2019-06-26,2019-10-25,28.00000000,36.39197097,8.39197097
5170975,1288772,2019-03-19,2019-10-25,10.00000000,10.69690514,0.69690514
5166558,1272654,2018-05-15,2019-10-28,32.00000000,33.70809621,1.70809621
5169721,1291118,2019-11-04,2019-12-05,32.00000000,33.34705188,1.34705188
5031393,1291119,2019-11-04,2019-12-05,44.00000000,33.34705188,10.65294812
5005181,1294421,2021-05-06,2021-05-06,32.34000000,34.83454780,2.49454780
5103795,1291144,2019-11-07,2019-12-05,12.00000000,10.30799907,1.69200093
5174445,1294428,2021-05-07,2021-05-07,32.00000000,32.51103678,0.51103678
5028650,1294425,2021-05-07,2021-05-07,26.00000000,26.28850708,0.28850708
5168519,1290976,2019-10-24,2019-12-05,23.00000000,30.68678922,7.68678922
5164652,1291002,2019-10-25,2019-12-05,27.00000000,31.20648197,4.20648197
5087163,1291132,2019-11-05,2019-12-05,34.00000000,40.54536993,6.54536993
5171315,1287761,2018-11-23,2019-01-22,40.00000000,36.82853306,3.17146694
5171341,1287775,2018-11-23,2019-01-22,37.00000000,38.90388167,1.90388167
5171345,1287778,2018-11-23,2019-01-22,37.00000000,40.13889705,3.13889705
5171351,1287796,2018-11-26,2019-01-22,37.00000000,38.04867151,1.04867151
5171354,1287799,2018-11-26,2019-01-22,41.00000000,41.95433900,0.95433900
5171322,1287722,2018-11-21,2019-01-22,41.00000000,37.92430500,3.07569500
5171324,1287726,2018-11-21,2019-01-22,41.00000000,40.07018317,0.92981683
5171230,1287733,2018-11-21,2019-01-22,41.00000000,40.64500001,0.35499999
5171328,1287735,2018-11-21,2019-01-22,41.00000000,40.64500001,0.35499999
5110798,1287658,2018-11-09,2018-11-09,24.00000000,24.84841925,0.84841925
5170896,1287586,2018-11-07,2018-11-07,24.00000000,25.70838524,1.70838524
5169568,1291275,2019-11-19,2019-12-05,31.00000000,32.30290354,1.30290354
5164660,1291290,2019-11-20,2019-12-05,32.00000000,33.09015790,1.09015790
5164892,1291322,2019-11-22,2019-12-05,35.00000000,35.77762304,0.77762304
5152688,1291218,2019-11-14,2019-12-05,32.00000000,36.42500244,4.42500244
5170559,1291220,2019-11-14,2019-12-05,27.00000000,30.92743414,3.92743414
5164574,1291224,2019-11-14,2019-12-05,33.00000000,34.47040490,1.47040490
5166564,1291254,2019-11-18,2019-12-05,31.00000000,30.38465769,0.61534231
5166566,1291256,2019-11-18,2019-12-05,31.00000000,30.21375637,0.78624363
5165624,1293733,2021-01-07,2021-01-07,60.00000000,76.62638420,16.62638420
5171394,1294422,2021-05-06,2021-10-20,30.00000000,40.29290968,10.29290968
5166418,1294444,2021-05-11,2021-05-11,29.00000000,29.64726787,0.64726787
5107590,1294459,2021-05-14,2021-05-14,17.00000000,22.05889522,5.05889522
5171927,1291924,2020-01-27,2020-02-21,10.00000000,12.83564129,2.83564129
5053193,1294798,2021-06-24,2021-06-24,23.00000000,30.23676515,7.23676515
5151830,1292682,2020-07-10,2020-07-10,30.00000000,38.25134866,8.25134866
5172019,1291035,2019-10-29,2020-07-15,25.00000000,27.94130869,2.94130869
5171999,1291086,2019-11-01,2020-07-15,23.00000000,25.95138799,2.95138799
5172014,1291090,2019-11-01,2020-07-15,31.00000000,39.58199007,8.58199007
5172027,1291011,2019-10-25,2020-07-15,34.00000000,35.96268208,1.96268208
5172009,1290897,2019-10-17,2020-07-15,30.00000000,30.32697315,0.32697315
5172008,1290899,2019-10-17,2020-07-15,30.00000000,27.58398112,2.41601888
5080321,1292769,2020-07-27,2020-07-27,25.00000000,35.59394772,10.59394772
5174391,1293352,2020-11-04,2020-11-04,10.00000000,15.55028325,5.55028325
5170831,1292805,2020-08-07,2020-08-07,30.00000000,32.63021574,2.63021574
5171168,1285997,2018-08-06,2018-11-07,25.00000000,25.20208270,0.20208270
5171823,1294997,2021-07-21,2021-07-22,10.00000000,17.99365646,7.99365646
5054633,1294549,2021-05-20,2021-05-20,29.00000000,32.15646033,3.15646033
5148690,1281595,2017-07-19,2021-06-03,25.00000000,31.80802011,6.80802011
5169654,1281601,2017-07-19,2021-06-03,25.00000000,36.32218106,11.32218106
