bin,oti_height_roof,planimetrics_height_roof,planimetrics_spot_height_calc,decision
3119614,36,84,89,
3426829,70,118,122,
3330682,23,72,71,
3116646,29,78,78,
3067910,20,68,69,
3426036,68,115,115,
1001410,222,269,272,
3335231,143,96,99,
2023831,24,70,70,
1082759,300,347,346,
3062301,16,63,63,
3338159,45,91,90,
3338159,45,91,90,
3338159,45,91,90,
3138489,24,72,74,
4617185,16,63,66,
3340239,105,152,153,
3057560,20,67,69,
3029599,17,64,67,
2120984,11,57,58,
3065463,25,71,73,
3065463,25,71,84,
3068160,13,59,60,
5005145,21,67,85,
3062016,33,79,75,
1090817,185,231,219,
3138490,26,72,74,
3061873,15,62,54,
3069329,23,69,72,
3406765,14,61,60,
1076177,766,812,810,
3329918,78,124,124,
1090656,149,195,194,
4617820,596,642,642,
1090631,256,302,287,
4536853,49,95,95,
2124883,68,23,29,
3397357,123,78,78,
5151097,70,25,20,
3414335,12,57,60,
3140549,27,72,72,
3421807,140,96,93,
3426053,41,86,84,
4113846,31,76,78,
4596213,108,63,65,
4430381,29,75,76,
4620049,36,82,83,
3028314,31,76,76,
3003090,15,61,57,
3054893,34,80,80,
4448852,19,63,68,
3391267,13,58,60,
4542645,86,42,43,
3107004,15,59,60,
4206489,17,62,63,
4059002,57,13,17,
4542642,86,41,43,
3063648,22,67,66,
3116151,35,79,79,
4542643,86,41,43,
3421375,73,29,29,
3061500,15,60,61,
3166899,12,56,57,
3422378,35,79,80,
4542640,86,42,43,
3048421,29,72,74,
3069428,24,68,70,
4542639,86,41,43,
1085698,17,61,62,
3244263,26,70,72,
3059686,17,61,62,
3327328,97,53,51,
4436320,21,65,66,
3395073,17,62,62,
4542644,86,42,43,
4050468,29,73,73,
3068099,15,58,56,
3044209,29,72,75,
4438391,12,54,55,
3324216,16,59,60,
3072211,14,58,59,
2101893,25,69,71,
3016112,28,71,69,
3138498,25,68,65,
3138823,27,70,71,
3338755,37,80,82,
3328171,37,79,81,
3057331,14,57,58,
1006102,20,64,62,
1090202,385,429,406,
3054787,15,58,58,
4009223,16,59,58,
3022077,15,58,57,
3044978,27,69,70,
2129363,210,253,258,
3055425,12,54,54,
3054396,12,54,53,
3412956,13,55,50,
3073197,17,58,53,
3140239,26,67,69,
3412957,13,56,50,
3062964,17,59,63,
3049709,27,69,70,
3402928,19,60,60,
3000556,86,128,130,
3409022,13,56,54,
3062736,33,75,74,
3423491,11,53,55,
4006649,19,61,59,
4255332,19,61,32,
4457718,103,60,60,
4607332,21,64,63,
4115417,26,68,69,
3137900,29,72,72,
3421790,11,53,45,
3329705,37,79,79,
3057966,28,69,68,
3012525,13,55,54,
3426190,552,511,513,
3072871,20,61,63,
3140175,27,68,68,
5172050,65,106,106,
1083283,54,13,14,
2116638,60,102,98,
3414197,114,155,132,
2008515,31,72,70,
1090192,778,737,738,
3077042,18,59,61,
3071459,24,64,65,
3117644,26,67,66,
3061970,9,51,52,
3120054,15,56,57,
3054750,36,77,79,
4139505,74,34,37,
3329408,82,121,121,
4617675,95,56,57,
3035191,23,63,64,
3325956,32,72,64,
4619413,250,210,210,
3329403,18,58,60,
4607544,27,67,73,
3028232,14,53,54,
1049962,40,80,82,
2116430,70,110,96,
4551443,53,14,13,
2126552,11,52,51,
3425716,47,87,92,
2129112,83,123,125,
3073694,12,52,51,
3426389,115,76,76,
2028945,20,59,54,
3054582,16,57,57,
3422352,15,55,59,
3119752,28,67,65,
3120967,22,61,62,
3073926,14,53,50,
3337602,78,39,40,
3038324,27,66,68,
3138499,26,65,64,
3412955,13,52,50,
3108600,25,64,64,
3409021,13,52,53,
1090808,135,174,175,
3028553,15,54,47,
4542200,28,67,67,
1090446,135,175,170,
3120590,38,77,79,
