bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
2127116,27,26,2
3425431,53,46,7
3398447,60,63,3
3403056,46,48,3
3425097,73,73,1
3426996,35,33,2
3425625,84,86,3
3027918,91,92,2
3424611,51,51,1
3418229,82,82,1
3248691,34,34,1
3247622,32,34,2
3006423,54,54,1
3009227,37,37,1
3425612,131,131,1
3424968,43,45,2
3421404,48,48,1
3399249,29,30,1
3426487,34,34,1
3421442,34,34,1
3413708,63,55,8
3413883,54,56,3
3398821,47,49,2
3414013,54,56,2
3425144,57,56,2
3425147,70,72,2
3425100,47,49,3
3425139,44,46,3
3413433,50,52,3
3413437,50,52,3
3330224,33,34,2
3073929,48,49,2
3116041,78,81,3
3414006,44,46,2
3398579,35,33,2
3398549,32,32,1
3426028,54,52,3
3337845,15,14,1
3425828,13,15,2
3009286,18,19,2
3049908,46,46,1
3014830,52,52,1
3413702,88,89,1
3398446,118,117,1
3166969,40,38,2
3413764,61,59,2
3424550,49,43,7
3002104,213,211,2
3426216,12,14,2
3422546,41,42,2
3424219,27,30,4
3404460,28,32,5
3398286,29,29,1
3398299,28,29,1
3398300,28,29,2
3398303,28,28,1
3398261,27,28,1
3398263,27,28,2
3398267,27,29,2
3398319,28,29,2
3398321,28,28,1
3398323,27,28,1
3398326,27,29,2
3425733,61,56,6
3424594,42,41,1
3426069,101,83,18
3425474,62,65,3
3426919,16,18,3
3072876,43,48,5
3425163,104,107,3
3424462,43,45,2
3426381,65,63,3
3425823,14,17,3
3413814,57,57,1
3425992,53,55,2
3425143,53,55,3
3426480,55,50,6
3398370,59,51,9
3418146,85,83,2
3425079,17,19,2
3399247,29,29,1
3404492,26,29,4
3418359,26,30,4
3421654,32,35,3
3426128,15,13,3
3072175,46,46,1
3069833,57,50,8
3402994,53,56,4
3409567,49,51,3
3400428,48,51,3
3425142,36,39,3
3425867,50,52,3
3127540,63,63,1
3010807,43,43,1
3040213,50,50,1
3071068,58,59,2
3322632,44,44,1
3422628,31,32,2
3075152,50,47,4
3425827,20,23,3
3083395,25,27,2
3416124,36,37,1
3425815,14,17,3
3136008,44,44,1
3325789,49,51,3
3398234,43,45,3
3378589,26,26,1
3398333,64,65,1
3426016,30,31,1
3425103,44,48,4
3426392,58,44,15
3413894,135,139,5
3398305,28,28,1
3398257,27,29,2
3398259,27,28,1
3398262,27,28,1
3398272,28,29,1
3398314,28,29,2
3398322,28,28,1
3398273,29,29,1
3398278,29,29,1
3068650,78,71,8
3426899,44,46,2
3424448,172,172,1
3135417,21,23,3
3426038,46,48,2
3426227,95,85,10
3397213,72,74,2
3425080,53,55,2
3028067,28,31,3
3424069,46,46,1
3162372,75,76,2
3018891,52,54,3
3424758,82,87,5
3425138,73,73,1
3425495,60,63,4
3424212,71,72,2
3426518,160,146,14
3426799,62,54,8
3424573,135,123,12
3426946,263,262,1
3415569,12,15,3
3424503,28,32,5
3398697,18,16,3
3418210,42,41,2
3404490,26,29,4
3404493,26,29,4
3421395,55,52,4
3421443,34,34,1
3415745,70,69,1
3072697,53,50,4
3426490,32,33,1
3085904,22,24,3
3425441,29,31,3
3425155,39,43,4
3009515,51,47,4
3043264,51,51,1
3399057,32,33,2
3061479,36,38,3
3338586,21,15,7
3418181,12,9,3
3422315,34,35,2
3048305,14,15,1
3113806,15,15,1
3064043,70,72,2
3425389,56,57,1
3424562,53,55,2
3424423,63,63,1
3424177,77,78,1
3421795,83,82,2
3074700,56,58,2
3404458,28,32,4
3418407,36,35,1
3426052,47,47,1
3411557,59,57,2
3414822,59,59,1
3042697,12,15,3
3398308,27,30,3
3398287,29,29,1
3398288,29,29,1
3398311,29,31,3
3398256,27,28,1
3398264,27,28,2
3398313,29,29,1
3398315,28,29,2
3398316,28,29,2
3398317,28,29,2
3398281,29,31,2
3398285,29,31,2
3414138,150,148,2
3426652,99,101,2
3424498,32,31,2
3424705,63,64,1
3398372,60,52,8
3426433,314,319,5
3426146,162,162,1
3425497,35,34,2
3426479,79,80,2
3213526,17,15,2
3401675,127,128,2
3399246,29,29,1
3399248,29,29,1
3418355,26,26,1
3404489,27,29,3
3067868,53,55,2
3426011,37,31,7
3114633,242,246,5
3065339,47,44,3
3421391,65,58,7
3393163,55,50,6
3414231,56,57,1
3425265,19,23,4
3039122,46,46,1
3399058,33,33,1
3425781,65,57,9
3023295,44,46,2
3013481,35,39,4
3418342,48,50,2
3425025,11,11,1
3056252,38,36,2
3329802,91,83,8
3413687,42,43,2
3118449,74,75,1
3223368,13,15,3
3418184,79,79,1
3021043,50,49,1
3324975,52,50,3
3213337,22,19,3
3404462,27,30,4
3416956,128,120,9
3398368,57,51,7
3414239,65,67,2
