bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
4522052,11,10,2
4542474,29,32,3
4619840,14,14,1
4623640,13,15,3
4619956,14,17,4
4615332,24,25,1
4597019,44,34,10
4617681,233,232,2
4620160,34,35,1
4607382,22,23,1
4607651,39,41,3
4614735,31,30,2
4596105,24,32,8
4619776,12,13,1
4105334,26,30,5
4619885,16,19,4
4596373,17,21,4
4136690,34,31,3
4547272,11,11,1
4616958,41,40,1
4079457,35,33,3
4596243,26,26,1
4607260,64,63,1
5171291,43,48,6
5165933,61,64,3
5171937,27,32,5
5164540,33,36,4
5122848,26,28,2
5165200,36,42,6
5170825,28,33,5
5172051,31,38,8
5166271,37,39,2
5171984,38,38,1
5169201,26,38,12
5169015,38,37,1
5171164,32,31,1
5170594,28,32,4
5170595,12,17,6
5073197,20,19,1
5087028,26,23,3
5164594,38,37,1
5166395,35,35,1
5158272,38,39,2
5158269,37,39,2
5164980,33,37,4
5044235,34,35,1
5158554,30,27,4
5171486,13,10,4
5166848,38,35,3
5166850,36,37,1
5170532,12,11,1
5157664,38,34,4
5170557,32,33,2
5171479,35,36,1
5155083,12,13,2
5166476,35,35,1
5166475,35,35,1
5159081,36,37,1
5164552,33,32,1
5164553,34,39,5
5159316,35,36,2
5164936,30,35,6
5159084,35,32,4
5159661,12,15,3
5159100,34,36,2
5042981,31,31,1
5167656,33,34,2
5164377,31,34,3
5164378,31,30,1
5159016,32,36,4
5162226,28,30,3
5064681,31,32,1
5164396,37,35,2
5164395,35,34,1
5161229,36,37,2
5164128,34,34,1
5148702,35,33,3
5169907,36,37,2
5166480,35,37,2
5166485,36,37,1
5171360,33,41,8
5171653,45,47,3
5172069,12,14,2
5172030,32,32,1
5169901,38,39,2
5153475,12,17,5
5171851,13,12,2
5169045,39,39,1
5166305,47,48,2
5169228,34,38,4
5037186,42,53,12
5141150,27,29,2
5170044,36,37,1
5169016,38,37,1
5171162,27,27,1
5164934,32,33,2
5169533,34,37,4
5165074,32,32,1
5164748,31,32,2
5164750,31,32,2
5799509,39,20,19
5165827,30,36,7
5165037,39,41,3
5065532,32,36,4
5087752,36,37,1
5799515,41,22,19
5125571,17,18,2
5158270,37,39,2
5166021,30,33,4
5164982,33,35,2
5045959,32,22,11
5084328,37,33,5
5158812,33,28,6
5166854,31,34,3
5164888,35,39,4
5170592,31,45,14
5157666,37,34,4
5170558,32,37,5
5140368,12,12,1
5158984,33,34,2
5159141,35,37,2
5157828,38,38,1
5068198,39,39,1
5164084,33,33,1
5142411,33,31,2
5164833,37,38,1
5148866,36,36,1
5148862,38,38,1
5148861,37,38,1
5158988,35,39,4
5159099,35,36,1
5168558,35,35,1
5166736,35,34,1
5163147,28,29,2
5090769,35,34,2
5165013,27,29,2
5164534,34,36,3
5167655,32,33,1
5167657,33,34,2
5167659,32,35,4
5159013,35,37,3
5148704,36,33,4
5113073,72,72,1
5165171,37,37,1
5164132,32,40,9
5148718,37,34,4
5148706,36,33,3
5166483,35,37,2
5166487,35,33,2
5160995,34,34,1
5122240,35,37,3
5122242,35,37,2
5142134,31,34,4
5142117,32,34,2
5169336,37,35,3
5053472,23,24,2
5174839,32,36,5
5081528,33,35,3
5031632,31,32,1
5171982,28,27,1
5165321,30,32,2
5164150,32,31,1
5171165,13,12,1
5089052,28,39,12
5170704,32,32,1
5164744,32,32,1
5164978,32,34,3
5087744,33,40,8
5127311,17,20,4
5127315,17,20,4
5109485,39,40,2
5166310,13,13,1
5164986,12,11,1
5164979,33,34,2
5046276,31,34,4
5166376,30,30,1
5171941,36,31,6
5154837,22,21,1
5157665,36,35,2
5171480,12,12,1
5163219,36,36,1
5169683,33,36,3
5160436,32,32,1
5159212,36,37,1
5166478,37,37,1
5164627,33,38,5
5164555,34,34,1
5166308,34,39,5
5164389,35,35,1
5170605,35,28,7
5164235,32,35,3
5164398,36,37,1
5165007,30,32,2
5169517,35,35,1
5073665,33,35,2
5164962,32,32,1
5025360,34,36,2
5171485,12,12,1
5165014,28,30,3
5162225,28,30,2
5162228,28,30,2
5067470,32,32,1
5148780,37,31,7
5000817,29,31,2
5164798,21,23,3
5148711,35,33,3
5148710,38,35,3
5148709,38,35,3
5166447,30,30,1
5126607,36,35,2
5174603,39,38,1
5171652,61,62,1
5164530,47,50,3
5164885,41,34,7
5171096,34,37,3
5171660,36,34,3
5050220,29,28,1
5169550,14,14,1
5169346,34,37,4
5109098,23,28,6
5151970,45,44,1
5170565,33,33,1
5164613,26,29,3
5165076,31,31,1
5164746,30,31,1
5165126,33,39,7
5164981,34,37,3
5164985,11,18,7
5166375,30,30,1
5164384,18,20,2
5164386,20,21,2
5159211,37,39,2
5164626,32,34,3
5164578,35,38,3
5164146,32,32,1
5164556,34,34,1
5164777,34,39,5
5159135,32,33,2
5074091,31,32,1
5164914,30,30,1
5159086,34,32,3
5164592,36,34,3
5166676,22,22,1
5164085,32,33,1
5148865,35,35,1
5022669,38,38,1
5159042,35,40,6
5164533,34,36,3
5167658,33,35,3
5164867,21,21,1
5148779,37,31,6
5164363,33,34,1
5148697,37,35,2
5148696,35,35,1
5148695,37,35,3
5148712,35,33,2
5164851,31,36,5
5159206,35,38,3
5159207,36,38,3
5017365,37,41,4
5170474,56,54,2
5171739,12,14,3
5166313,33,36,3
5157072,12,12,1
5171814,13,15,2
5077690,31,32,2
5165320,30,13,18
5170476,34,38,4
5171199,18,12,6
5049604,32,31,1
5170593,27,36,10
5164956,32,34,2
5169532,34,34,1
5142532,14,13,1
5165075,31,31,1
5170334,33,35,2
5165828,30,31,2
5170508,11,16,6
5158271,37,39,2
5166789,27,28,2
5164983,31,31,1
5112058,33,33,1
5164890,36,37,1
5170533,13,11,3
5170115,31,30,2
5157663,35,31,5
5165195,26,37,12
5166477,35,35,1
5164709,30,27,4
5159214,33,33,1
5169215,13,11,3
5169164,11,13,2
5164551,33,32,1
5159140,35,36,2
5003023,37,35,2
5166302,35,37,2
5159085,35,32,4
5159083,36,32,5
5159660,29,33,4
5169361,29,29,1
5159098,35,36,1
5166735,35,34,1
5170714,29,31,3
5163146,32,31,2
5049495,32,35,3
5162252,31,31,1
5162250,29,31,3
5164375,34,34,1
5165223,35,36,2
5164549,36,39,4
5165012,28,31,3
5165015,28,29,2
5159012,34,37,4
5159014,33,35,3
5162227,28,30,3
5164372,36,37,2
5159539,39,43,4
5075150,32,33,1
5164870,31,32,1
5164550,32,33,2
5158967,33,37,5
5171966,28,30,2
5164868,21,21,1
5164797,26,29,4
5148699,36,32,5
5148716,36,32,4
5148708,36,33,3
5169904,17,17,1
5166482,35,37,2
5166420,34,34,1
5164136,29,29,1
5166424,27,27,1
5166421,33,34,1
5171303,36,38,2
5165149,27,34,7
5166360,20,19,1
5171969,36,37,2
5117015,32,33,1
5171276,35,35,1
5164544,33,35,3
5045713,39,41,3
5164953,33,35,3
5054885,35,33,3
5171220,44,53,10
5169227,34,38,5
5168749,43,43,1
5169345,33,34,2
5139624,17,18,2
5165802,25,27,3
5164743,33,35,3
5164745,31,31,1
5164749,31,32,2
5069635,18,20,3
5166022,30,34,4
5171489,12,22,10
5158811,33,28,5
5166855,36,35,2
5171160,11,17,6
5171243,27,24,4
5048690,30,30,1
5166474,35,35,1
5159143,35,35,1
5166301,34,36,2
5164916,31,31,1
5164593,37,38,2
5159040,32,28,4
5169151,28,29,2
5169147,13,22,9
5041793,31,33,3
5799505,42,23,19
5164374,32,34,3
5164373,35,39,5
5159043,35,39,5
5167637,30,35,5
5159011,35,34,1
5170109,35,38,3
5148705,36,33,4
5087217,37,32,6
5148703,36,33,4
5075123,33,34,2
5170004,22,23,2
5158282,35,36,2
5148700,36,32,5
5148713,35,33,2
5148715,36,32,5
5166473,37,38,1
5164546,32,35,3
5164539,32,36,4
5172075,32,37,5
5151744,30,49,19
5171919,12,14,2
5171166,13,21,8
5169530,33,33,1
5062071,24,27,3
5170744,20,20,1
5164816,31,32,2
5164815,32,31,2
5171476,40,40,1
5165117,33,35,2
5799502,33,35,2
5170488,48,47,2
5127312,17,20,3
5127313,17,20,4
5036681,21,25,4
5166020,31,35,4
5164984,12,18,6
5166849,32,28,4
5166852,35,40,6
5166851,34,42,9
5164887,36,41,6
5164755,33,36,4
5164554,33,36,4
5159142,36,35,2
5158975,35,36,1
5164915,31,31,1
5166626,34,31,3
5157830,37,36,1
5159041,34,40,6
5171298,36,37,1
5080269,36,39,3
5159101,34,36,3
5166657,37,36,1
5170702,32,31,1
5162251,31,35,5
5082355,37,37,1
5167654,32,33,1
5170529,31,34,3
5159010,35,34,1
5165072,34,37,4
5023333,40,46,6
5045421,33,34,2
5166729,31,32,2
5164129,34,34,1
5164131,33,40,8
5148694,37,35,3
5148707,37,33,4
5164852,32,34,3
5054282,32,32,1
5166479,38,39,2
5166481,35,37,2
5166659,29,31,2
5169750,30,36,6
5126605,36,38,3
5158987,47,53,6
5164547,33,34,1
5175242,32,32,1
5170536,40,43,4
5084690,21,21,1
5105346,32,32,1
5171923,21,16,5
5157073,12,10,2
5164818,31,28,4
5169496,43,43,1
5169033,27,27,1
5168565,36,37,2
5165203,36,37,2
5164935,32,31,1
5089051,28,38,11
5164747,32,32,1
5799504,26,33,7
5158649,29,40,11
5171481,34,35,1
5127314,17,20,4
5799523,39,41,2
5109468,38,39,2
5171488,14,13,1
5171487,14,13,1
5166377,31,34,4
5164385,43,45,3
5158810,36,29,8
5166853,35,39,5
5164889,36,37,2
5171161,12,19,7
5166660,32,36,5
5170117,13,16,4
5166307,34,39,6
5164821,31,30,1
5159137,35,36,1
5159136,35,36,2
5165087,26,29,3
5158974,35,36,1
5157829,37,36,1
5157827,38,38,1
5157831,38,38,1
5159082,36,37,1
5164397,36,38,2
5158769,28,35,8
5162677,17,22,5
5164238,37,38,1
5164894,28,29,2
5164903,28,29,2
5148864,36,36,1
5148863,36,36,1
5165091,35,36,2
5164817,30,35,6
5162249,30,31,2
5170654,35,33,3
5167636,29,33,4
5164379,31,30,1
5148717,38,34,5
5159015,33,35,3
5015180,42,51,10
5161230,36,41,5
5164130,31,40,9
5158973,13,1,12
5169982,32,35,3
5148701,37,33,4
5148714,33,33,1
5165172,34,36,3
5159562,36,40,5
5144501,12,13,1
5166152,36,36,1
5166488,37,35,2
5166486,34,34,1
5166570,35,34,1
