bin,oti_height_roof,planimetrics_height_roof,height_difference,planimetrics_spot_height_calc,planimetrics_height_range
4534922,17,70,53,73,3
3049349,17,70,53,72,2
4223680,21,74,53,75,2
4542288,115,62,53,64,2
3063883,15,66,52,67,2
3175532,25,77,52,76,2
3116056,14,66,52,68,2
4117159,11,63,52,65,2
3067912,14,66,52,68,2
3322757,20,72,52,72,1
3332258,19,72,52,72,1
4006367,14,67,52,48,19
1005278,24,76,52,76,1
3424711,240,189,52,193,4
4117158,11,63,52,65,2
4542179,97,47,51,72,26
3053786,50,100,51,103,4
4617819,143,92,51,94,2
3031499,20,72,51,69,3
2129056,85,136,51,137,1
4607854,27,79,51,81,3
3322756,21,71,50,73,2
3038367,30,80,50,82,3
3398332,16,67,50,67,1
3426306,140,191,50,172,19
3413821,10,61,50,61,1
1089742,328,378,50,378,1
3328598,15,65,50,66,1
1090866,470,520,50,522,3
3426034,67,117,50,114,4
3023672,13,63,50,61,2
3053844,35,84,49,87,3
1011870,26,75,49,77,3
2109477,38,88,49,90,3
3000844,28,76,49,76,1
1004593,28,77,49,77,1
3154977,33,82,49,91,10
4038418,19,68,49,74,7
3100205,15,64,49,65,1
3055154,21,70,49,67,3
4540151,22,72,49,73,2
3071055,14,62,49,65,3
3061307,13,62,49,63,2
3140922,26,75,48,73,3
1079602,60,109,48,110,1
3122909,26,74,48,70,5
1062715,19,67,48,65,2
3348906,13,61,48,61,1
1086804,22,70,48,70,1
3206416,14,62,48,63,2
3009201,16,64,48,69,5
3116901,36,85,48,85,1
4006550,21,70,48,66,4
3119614,36,84,48,89,5
3426829,70,118,48,122,4
3330682,23,72,48,71,1
3116646,29,78,48,78,1
3067910,20,68,48,69,2
3426036,68,115,47,115,1
1001410,222,269,47,272,3
3335231,143,96,47,99,3
2023831,24,70,47,70,1
1082759,300,347,47,346,2
3062301,16,63,47,63,1
3338159,45,91,47,90,2
3338159,45,91,47,90,2
3338159,45,91,47,90,2
3138489,24,72,47,74,3
4617185,16,63,47,66,3
3340239,105,152,47,153,2
3057560,20,67,47,69,2
3029599,17,64,46,67,4
2120984,11,57,46,58,1
3065463,25,71,46,73,3
3065463,25,71,46,84,14
3068160,13,59,46,60,1
5005145,21,67,46,85,18
3062016,33,79,46,75,5
1090817,185,231,46,219,13
3138490,26,72,46,74,2
3061873,15,62,46,54,8
3069329,23,69,46,72,3
3406765,14,61,46,60,1
1076177,766,812,46,810,2
3329918,78,124,46,124,1
1090656,149,195,46,194,1
4617820,596,642,46,642,1
1090631,256,302,45,287,15
4536853,49,95,45,95,1
2124883,68,23,45,29,7
3397357,123,78,45,78,1
5151097,70,25,45,20,6
3414335,12,57,45,60,4
3140549,27,72,45,72,1
3421807,140,96,45,93,3
3426053,41,86,45,84,3
4113846,31,76,45,78,2
4596213,108,63,45,65,2
4430381,29,75,45,76,2
4620049,36,82,45,83,1
3028314,31,76,45,76,1
3003090,15,61,45,57,5
3054893,34,80,45,80,1
4448852,19,63,44,68,5
3391267,13,58,44,60,3
4542645,86,42,44,43,2
3107004,15,59,44,60,1
4206489,17,62,44,63,2
4059002,57,13,44,17,4
4542642,86,41,44,43,2
3063648,22,67,44,66,1
3116151,35,79,44,79,1
4542643,86,41,44,43,2
3421375,73,29,44,29,1
3061500,15,60,44,61,1
3166899,12,56,44,57,1
3422378,35,79,44,80,2
4542640,86,42,44,43,2
3048421,29,72,44,74,2
3069428,24,68,44,70,2
4542639,86,41,44,43,2
1085698,17,61,44,62,1
3244263,26,70,44,72,3
3059686,17,61,44,62,1
3327328,97,53,44,51,2
4436320,21,65,44,66,2
3395073,17,62,44,62,1
4542644,86,42,44,43,1
4050468,29,73,44,73,1
3068099,15,58,43,56,3
3044209,29,72,43,75,4
4438391,12,54,43,55,1
3324216,16,59,43,60,1
3072211,14,58,43,59,2
2101893,25,69,43,71,2
3016112,28,71,43,69,2
3138498,25,68,43,65,3
3138823,27,70,43,71,1
3338755,37,80,43,82,2
3328171,37,79,43,81,2
3057331,14,57,43,58,2
1006102,20,64,43,62,2
1090202,385,429,43,406,24
3054787,15,58,43,58,1
4009223,16,59,43,58,1
3022077,15,58,43,57,1
3044978,27,69,43,70,1
2129363,210,253,42,258,5
3055425,12,54,42,54,1
3054396,12,54,42,53,1
3412956,13,55,42,50,6
3073197,17,58,42,53,6
3140239,26,67,42,69,2
3412957,13,56,42,50,6
3062964,17,59,42,63,4
3049709,27,69,42,70,2
3402928,19,60,42,60,1
3000556,86,128,42,130,3
3409022,13,56,42,54,2
3062736,33,75,42,74,1
3423491,11,53,42,55,2
4006649,19,61,42,59,3
4255332,19,61,42,32,30
4457718,103,60,42,60,1
4607332,21,64,42,63,1
4115417,26,68,42,69,2
3137900,29,72,42,72,1
3421790,11,53,42,45,9
3329705,37,79,42,79,1
3057966,28,69,42,68,2
3012525,13,55,42,54,2
3426190,552,511,41,513,2
3072871,20,61,41,63,2
3140175,27,68,41,68,1
5172050,65,106,41,106,1
1083283,54,13,41,14,1
2116638,60,102,41,98,4
3414197,114,155,41,132,24
2008515,31,72,41,70,2
1090192,778,737,41,738,1
3077042,18,59,41,61,2
3071459,24,64,41,65,1
3117644,26,67,41,66,1
3061970,9,51,41,52,2
3120054,15,56,41,57,1
3054750,36,77,41,79,2
4139505,74,34,41,37,4
3329408,82,121,40,121,1
4617675,95,56,40,57,2
3035191,23,63,40,64,2
3325956,32,72,40,64,8
4619413,250,210,40,210,1
3329403,18,58,40,60,2
4607544,27,67,40,73,6
3028232,14,53,40,54,1
1049962,40,80,40,82,2
2116430,70,110,40,96,14
4551443,53,14,40,13,1
2126552,11,52,40,51,2
3425716,47,87,40,92,5
2129112,83,123,40,125,3
3073694,12,52,40,51,1
3426389,115,76,40,76,1
2028945,20,59,40,54,6
3054582,16,57,40,57,1
3422352,15,55,40,59,4
3119752,28,67,39,65,2
3120967,22,61,39,62,2
